Volume_mL,pH,Ionic_Strength,Buffer_Capacity,Component_1_Name,Component_1_pKa,Component_1_Total_Conc_M,Component_1_Initial_Form,Component_1_Counter_Ion_Charge,Component_Type,Component_Name,Concentration_M
-1.9000000000000006,5.095743141127538,0.009412410290639462,0.004673732429370878,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.0000000000000004,5.062834817905282,0.009383652973534194,0.004785015239167459,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.1000000000000005,5.030749341121264,0.009355110846908755,0.004883737947288182,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.2000000000000006,4.999372163222689,0.009326784618223297,0.00497002417237658,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.3000000000000007,4.968601273280921,0.009298675424454728,0.005043996486405091,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.400000000000001,4.938344697110892,0.009270784639682474,0.005105776844555752,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.500000000000001,4.908518561804253,0.009243113948186641,0.005155486616226093,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.600000000000001,4.8790455411711,0.009215665527287868,0.005193246596864702,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.700000000000001,4.849853495039625,0.009188442075114692,0.005219177241104835,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.800000000000001,4.820874221879282,0.009161446632155727,0.0052333989633176585,acetate,4.76,0.01,A-,1,single,acetate,0.01
-2.9000000000000012,4.792042595450064,0.009134683033570195,0.005236032136085643,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.0000000000000013,4.763295556930017,0.009108155726826552,0.005227197478397208,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.1000000000000014,4.734571334905357,0.009081870006808154,0.005207016287183996,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.2000000000000015,4.705808652375846,0.009055832119149941,0.005175610790396064,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.3000000000000016,4.676945963219275,0.009030049411184349,0.005133104545738818,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.4000000000000017,4.647920712519818,0.009004530580576037,0.005079622948147647,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.5000000000000018,4.618668532499373,0.008979285861580944,0.005015293807773292,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.600000000000002,4.589122436268691,0.008954327378001753,0.004940248108024877,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.700000000000002,4.5592118998795925,0.008929669463831419,0.004854620872464429,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.800000000000002,4.528861887525716,0.008905329178031836,0.004758552326808138,acetate,4.76,0.01,A-,1,single,acetate,0.01
-3.900000000000002,4.497991718803748,0.008881326868607662,0.004652189295704049,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.000000000000002,4.466513780885094,0.008857686922941567,0.004535686998495286,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.100000000000001,4.434332027258828,0.008834438720839324,0.004409211339368044,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.200000000000001,4.4013402171723675,0.008811617876474775,0.004272941884307894,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.300000000000001,4.3674198139472455,0.008789267826543781,0.004127075692885585,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.4,4.332437496518418,0.008767441963482163,0.003971832440524505,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.5,4.29624216990024,0.00874620644234199,0.0038074611948461286,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.6,4.258661395813972,0.008725643962098645,0.003634249559401822,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.699999999999999,4.219497157013332,0.00870585890651847,0.0034525361447487815,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.799999999999999,4.178520904938977,0.008686984398739836,0.0032627277522638354,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.899999999999999,4.13546794584872,0.00866919207376594,0.0030653232951858675,acetate,4.76,0.01,A-,1,single,acetate,0.01
-4.999999999999998,4.090031472355283,0.008652705732842287,0.0028609474318007267,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.099999999999998,4.041857057837182,0.008637820483701616,0.002650398085136811,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.1999999999999975,3.990539517120527,0.008624929528823513,0.002434713655527064,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.299999999999997,3.935626095893703,0.008614561112320299,0.0022152670659408296,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.399999999999997,3.8766337983824175,0.00860742769144172,0.001993893694070836,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.4999999999999964,3.8130948412317514,0.008604486102223141,0.001773053828137751,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.599999999999996,3.7446521344091965,0.008606997529154635,0.0015560085604049174,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.699999999999996,3.671229431117336,0.008616553180119123,0.0013469343622498659,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.799999999999995,3.5932780154790014,0.00863499503843913,0.001150809808457194,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.899999999999995,3.512022194698967,0.00866413992242512,0.0009728382592370738,acetate,4.76,0.01,A-,1,single,acetate,0.01
-5.999999999999995,3.429505937817934,0.008705291468925756,0.0008173182676688515,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.099999999999994,3.348243362430157,0.008758743307665413,0.0006863810620121303,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.199999999999994,3.2705634811040576,0.008823628286889061,0.0005794378359112628,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.299999999999994,3.19805946677427,0.008898245733033149,0.0004937491119426646,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.399999999999993,3.131446094364994,0.008980604206329689,0.00042559912981228676,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.499999999999993,3.0707513143206167,0.00906884495421776,0.00037129726968553566,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.5999999999999925,3.015602121531453,0.00916143375071143,0.0003276897900710571,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.699999999999992,2.965452434598967,0.009257185221346765,0.00029228465456719534,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.799999999999992,2.91972042178116,0.009355212557736619,0.0002631871008318421,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.8999999999999915,2.8778565533849374,0.009454860335666369,0.00023897886914540489,acetate,4.76,0.01,A-,1,single,acetate,0.01
-6.999999999999991,2.839370522804206,0.009555644454369273,0.00021860111597414656,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.099999999999991,2.8038370988168677,0.009657205317498968,0.000201259610764472,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.19999999999999,2.770892488494561,0.009759273422161279,0.00018635347635234805,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.29999999999999,2.740227171439954,0.009861644697889724,0.00017342333311418405,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.39999999999999,2.71157803136696,0.00996416296934332,0.00016211402027724095,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.499999999999989,2.684720990121332,0.01006670747319125,0.00015214783489005083,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.599999999999989,2.659464571333727,0.01016918391736908,0.00014330523695449496,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.699999999999989,2.6356444643800887,0.010271518021040602,0.00013541083202649176,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.799999999999988,2.6131190121630072,0.010373650799403895,0.0001283230933342573,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.899999999999988,2.591765496779075,0.010475535085420448,0.00012192674992937908,acetate,4.76,0.01,A-,1,single,acetate,0.01
-7.999999999999988,2.5714770922064183,0.010577132934665199,0.00011612709133531219,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.099999999999987,2.552160363083484,0.010678413671825057,0.00011084566218658016,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.199999999999987,2.533733209520682,0.010779352400622746,0.00010601697557516569,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.299999999999986,2.5161231719107935,0.010879928859424235,0.00010158597959480081,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.399999999999986,2.499266027967818,0.010980126532571365,9.750608666789116e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.499999999999986,2.4831046266095056,0.011079931954429833,9.37376271920496e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.599999999999985,2.4675879144053026,0.011179334159756577,9.024662606680848e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.699999999999985,2.452670119124607,0.011278324246122847,8.70038270707404e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.799999999999985,2.438310061912367,0.011376895023012337,8.398390908434253e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.899999999999984,2.424470575094787,0.011475040729060052,8.116485197548816e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-8.999999999999984,2.4111180080529118,0.011572756799258442,7.852742030341256e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.099999999999984,2.3982218042728127,0.011670039679455495,7.60547399748401e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.199999999999983,2.3857541399670015,0.011766886669115885,7.373194943629219e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.299999999999983,2.3736896126006477,0.011863295793291592,7.154591038908852e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.399999999999983,2.362004971959303,0.011959265695662118,6.948496668503129e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.499999999999982,2.3506788870019797,0.012054795549073322,6.753874234151479e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.599999999999982,2.3396917430209228,0.01214988498035782,6.569797151270074e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.699999999999982,2.3290254645690913,0.012244534006865712,6.395435470502996e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.799999999999981,2.3186633603750333,0.012338742982661279,6.230043665585343e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.89999999999998,2.3085899870885793,0.012432512552731928,6.072950218065938e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-9.99999999999998,2.298791029212681,0.012525843613855392,5.9235486994050695e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.09999999999998,2.289253192990965,0.012618737281044864,5.781290106332455e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.19999999999998,2.2799641123691217,0.012711194858676209,5.645676249622637e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.29999999999998,2.270912265434198,0.012803217815563032,5.516254031884518e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.399999999999979,2.2620868999741988,0.01289480776337372,5.392610478517071e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.499999999999979,2.2534779669993217,0.012985966437887657,5.274368409110461e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.599999999999978,2.245076061232806,0.013076695682672427,5.161182655371544e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.699999999999978,2.2368723677194193,0.01316699743483191,5.052736747013095e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.799999999999978,2.228858613817709,0.013256873712531973,4.9487399996475296e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.899999999999977,2.221027025942064,0.013346326604056543,4.848924949109951e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-10.999999999999977,2.213370290505418,0.013435358258185086,4.7530450852087543e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.099999999999977,2.205881518585585,0.013523970875714521,4.6608728450394086e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.199999999999976,2.1985542138998344,0.013612166701974775,4.5721978319234345e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.299999999999976,2.191382243725035,0.013699948020209574,4.486825231003619e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.399999999999975,2.184359812445996,0.013787317145712318,4.404574396687092e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.499999999999975,2.1774814374535625,0.013874276420622694,4.325277590632191e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.599999999999975,2.1707419271476818,0.013960828209302747,4.248778851932455e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.699999999999974,2.164136360829728,0.014046974894222203,4.174932983660165e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.799999999999974,2.1576600702936006,0.014132718872292458,4.1036046420531825e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.899999999999974,2.151308622947043,0.014218062551596486,4.034667516446114e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-11.999999999999973,2.1450778063137235,0.01430300834846902,3.9680035895944894e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.099999999999973,2.1389636137833095,0.01438755868488702,3.903502469359031e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.199999999999973,2.1329622314913435,0.014471715986135735,3.8410607838685357e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.299999999999972,2.1270700262236106,0.01455548267871933,3.78058163324337e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.399999999999972,2.1212835342506997,0.0146388611884906,3.721974091819754e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.499999999999972,2.1155994510087357,0.014721853938974587,3.665152755536442e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.599999999999971,2.1100146215506275,0.01480446334986661,3.6100373297869345e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.69999999999997,2.1045260317001,0.014886691835686014,3.5565522535811186e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.79999999999997,2.099130799847565,0.014968541804569448,3.504626356349214e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.89999999999997,2.093826169332907,0.015050015657189468,3.454192544126948e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-12.99999999999997,2.088609501365706,0.01513111578578575,3.405187512240844e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.09999999999997,2.0834782684381423,0.015211844573297583,3.357551481916393e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.199999999999969,2.078430048190156,0.015292204392587704,3.311227958523369e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.299999999999969,2.0734625176901993,0.015372197605748377,3.266163509415914e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.399999999999968,2.0685734480983613,0.015451826563481891,3.222307559540842e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.499999999999968,2.06376069968167,0.015531093604548225,3.1796122031800563e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.599999999999968,2.0590222171541295,0.015610001055273472,3.1380320303630286e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.699999999999967,2.0543560253165007,0.015688551229113397,3.097523966634816e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.799999999999967,2.0497602249730438,0.015766746426266843,3.0580471249964997e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.899999999999967,2.045232989104429,0.01584458893333443,3.0195626689547066e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-13.999999999999966,2.0407725592778223,0.015922081023018352,2.9820336857204307e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.099999999999966,2.03637724227676,0.015999224953859536,2.9454250686916493e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.199999999999966,2.0320454069349063,0.016076022970008756,2.9097034084383915e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.299999999999965,2.0277754811591033,0.016152477301028586,2.874836891477814e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.399999999999965,2.0235659491283178,0.016228590161723542,2.840795206205441e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.499999999999964,2.0194153486561985,0.016304363751995756,2.807549455390588e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.599999999999964,2.015322268705924,0.016379800256724048,2.7750720747169816e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.699999999999964,2.011285347046938,0.01645490184566421,2.7433367568812755e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.799999999999963,2.0073032680439784,0.016529670673368697,2.7123183808163756e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.899999999999963,2.0033747605695607,0.016604108879124013,2.6819929456375006e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-14.999999999999963,1.9994985960317444,0.01667821858690419,2.6523375089499018e-05,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.0,8.831574304464095,0.08000000148245623,1.5601625907299753e-05,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.1,7.439710046532884,0.07973425560104817,0.00038181103815901986,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.2,7.138312592590206,0.0794702714007403,0.0007585638630864258,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.30000000000000004,6.961413540236846,0.079208030484592,0.0011314552906245793,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.4,6.835598572861691,0.07894751443597012,0.0015003729029125265,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.5,6.737792257867565,0.07868870748303965,0.0018653191770472242,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.6,6.657705361001005,0.07843159248304327,0.0022263244477290474,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.7,6.589847474527144,0.07817615289522453,0.002583422841589836,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.7999999999999999,6.530940617820589,0.07792237240398309,0.002936650204643081,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.8999999999999999,6.4788700091127405,0.07767023467410525,0.003286043920152355,acetate,4.76,0.08,A-,1,single,acetate,0.08
-0.9999999999999999,6.432192011455687,0.07741972437251687,0.003631637870165278,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.0999999999999999,6.389876383702995,0.07717082543555977,0.00397346988249635,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.2,6.351162590232647,0.07692352238249273,0.004311575778599323,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.3,6.315473050085351,0.07667779992840844,0.004645991026459802,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.4000000000000001,6.282358786572183,0.07643364298132221,0.004976750711442898,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.5000000000000002,6.251463871081796,0.07619103663930508,0.0053038895212016825,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.6000000000000003,6.22250130504684,0.0759499660205703,0.005627442456029015,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.7000000000000004,6.195236563620433,0.07571041709572578,0.0059474412402782595,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.8000000000000005,6.169475044852265,0.07547237501389603,0.006263921499118446,acetate,4.76,0.08,A-,1,single,acetate,0.08
-1.9000000000000006,6.14505394303981,0.07523582577233359,0.006576915578918707,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.0000000000000004,6.121835470848938,0.07500075537834308,0.006886456138060522,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.1000000000000005,6.099702020232393,0.07476715001361628,0.007192575433858003,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.2000000000000006,6.078552495530602,0.0745349963728568,0.007495303900869068,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.3000000000000007,6.05829916184527,0.07430428083323584,0.007794673633033157,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.400000000000001,6.0388649656341995,0.07407498780982533,0.008090725142013182,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.500000000000001,6.020183772296059,0.07384710804785956,0.008383472967286662,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.600000000000001,6.002195877218068,0.07362062665192162,0.008672955376480777,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.700000000000001,5.984848776305076,0.07339553081899572,0.00895920222545613,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.800000000000001,5.968095693736681,0.07317180789888339,0.00924224302257466,acetate,4.76,0.08,A-,1,single,acetate,0.08
-2.9000000000000012,5.951894777659539,0.0729494453920993,0.009522106932576865,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.0000000000000013,5.936208432275022,0.0727284309478047,0.009798822780456674,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.1000000000000014,5.92100270780152,0.07250875210132067,0.010072420098995942,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.2000000000000015,5.906247088790367,0.07229039757259054,0.010342923921550192,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.3000000000000016,5.891913579710393,0.07207335465791063,0.010610365229310095,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.4000000000000017,5.8779768845780875,0.07185761183742576,0.010874770498897216,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.5000000000000018,5.864413859604239,0.07164315747153926,0.011136166922305426,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.600000000000002,5.8512033162806825,0.07142998005829859,0.011394581371895734,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.700000000000002,5.838325807435577,0.07121806823372065,0.011650040395793823,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.800000000000002,5.825763441093941,0.0710074107677875,0.011902570230393974,acetate,4.76,0.08,A-,1,single,acetate,0.08
-3.900000000000002,5.8134997189285516,0.07079799656296862,0.012152196802958285,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.000000000000002,5.801519395093485,0.07058981465232153,0.012398945735947893,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.100000000000001,5.789808352483168,0.07038285419757705,0.0126428423514733,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.200000000000001,5.7783534939043175,0.07017710448725803,0.012883911675669766,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.300000000000001,5.7671426460547535,0.06997255493483148,0.013122178442997923,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.4,5.756164474541995,0.06976919507689232,0.013357667100472188,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.5,5.745408408452752,0.06956701457137923,0.013590401811816262,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.6,5.734864573213416,0.0693660031958214,0.013820406461548682,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.699999999999999,5.724523730671489,0.06916615084561531,0.014047704658998605,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.799999999999999,5.71437722548558,0.06896744753233183,0.014272319742253153,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.899999999999999,5.704416937043304,0.06876988338205163,0.014494274782038288,acetate,4.76,0.08,A-,1,single,acetate,0.08
-4.999999999999998,5.694635236236913,0.06857344863373009,0.014713592585533269,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.099999999999998,5.6850249465193246,0.06837813363758939,0.014930295700120862,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.1999999999999975,5.67557930874177,0.06818392885353833,0.01514440641707436,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.299999999999997,5.666292012829091,0.06799082533747128,0.01535594502593282,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.399999999999997,5.6571567796820865,0.06779881174112255,0.01556494055923624,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.4999999999999964,5.648168296743687,0.0676078817316966,0.015771404230560605,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.599999999999996,5.6393209908967386,0.06741802469921357,0.015975362688903087,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.699999999999996,5.630609774177256,0.06722923167675243,0.016176836823315218,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.799999999999995,5.622029822667354,0.06704149379176762,0.016375847313487128,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.899999999999995,5.613576558423325,0.06685480226461224,0.016572414632668973,acetate,4.76,0.08,A-,1,single,acetate,0.08
-5.999999999999995,5.605245631575089,0.06666914839579333,0.016766559089501115,acetate,4.76,0.08,A-,1,single,acetate,0.08
-6.099999999999994,5.5970329054582715,0.06648452356661146,0.0169583008226243,acetate,4.76,0.08,A-,1,single,acetate,0.08
-6.199999999999994,5.588934444497446,0.06630091925305084,0.01714765975031647,acetate,4.76,0.08,A-,1,single,acetate,0.08
-6.299999999999994,5.5809465014141155,0.06611832702521073,0.01733465557097708,acetate,4.76,0.08,A-,1,single,acetate,0.08
-6.399999999999993,5.573065505352193,0.06593673854596008,0.017519307766339816,acetate,4.76,0.08,A-,1,single,acetate,0.08
-6.499999999999993,5.565288050924546,0.0657561455696191,0.01770163560461185,acetate,4.76,0.08,A-,1,single,acetate,0.08
-6.5999999999999925,5.557610888096229,0.06557653994066667,0.017881658143541035,acetate,4.76,0.08,A-,1,single,acetate,0.08
